fen,trait,en_passant,roque,cp
rnbqkb1r/pp2pp1p/6p1/2pp4/3Pn3/1P1BPN2/P1P2PPP/RNBQK2R,1,1,0,14
2k1qr2/p1p2p1p/1R6/2n1N3/7P/P1P2QP1/4PP2/1R4K1,0,0,0,19
8/R7/1p3b2/4k3/5p2/8/PP5P/1K6,1,0,0,575
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2N2N2/PPP2PPP/R1BQKB1R,1,1,0,67
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR,1,1,0,22
rnbqkb1r/p3pppp/2p2n2/1p6/P1pP4/1P2PN2/5PPP/RNBQKB1R,0,1,0,37
k7/8/1K6/1P6/8/8/8/8,0,0,0,14
8/8/5p2/5kpp/3P4/1r4P1/3R1K1P/8,1,0,0,0
8/5b2/2Rr1k2/pB3p2/5P1p/P7/1P3KP1/8,0,0,0,570
5bk1/5p2/5np1/1p2p2p/4P1P1/1P2BP1P/2P1K3/1rN4R,0,0,0,167
r2qr2k/5pp1/p2pb2p/nppN4/4PQ2/1BP3RP/PP3PP1/R5K1,0,0,0,0
B3Q3/6pk/5p1p/5P1K/6PP/1q6/8/8,1,0,0,11
8/8/8/2N5/8/K3k3/5p2/8,1,0,0,-13
8/2k5/8/3pK3/3P4/8/8/8,1,0,0,0
1Rr2nk1/2P2p1p/3B4/4pbp1/p3B3/6P1/4PP1P/6K1,0,0,0,592
r1b2rk1/pp3p1p/1q2p1p1/2npP1N1/8/8/PPQ2PPP/R3RBK1,1,0,0,46
r1b2rk1/pp1pqppp/2nbpn2/1N6/4P3/2N5/PPP2PPP/R2QKB1R,1,1,0,34
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR,1,1,0,22
7r/1p4k1/p1bP4/5p1p/5P2/3B4/PP4P1/3KR3,0,0,0,3
r4r1k/ppn1NBpp/4b3/4P3/3p1R2/1P6/P1P3PP/R5K1,1,0,0,2
2kr1b1r/pp1npppp/2Q1bn2/7q/5B2/2NB3P/PPP1N1P1/2KR3R,0,0,0,1
rnb1k2r/ppp2ppp/5n2/8/2pbP3/2N1B3/PP3PPP/R3KB1R,1,1,0,41
4r1k1/6b1/p3p3/1p1pP2r/2pP2RN/2P5/PP4R1/7K,0,0,0,0
8/3k4/4R3/2K5/8/8/8/8,1,0,0,7
q5k1/5pp1/8/1pb1P3/2p4p/2P4r/1P3PQ1/1N3RK1,0,0,0,-12
r2q1rk1/1p4bp/1n1pbn2/2p1p1B1/2P2pPN/pPNP3P/P1BQ1P2/2KR2R1,0,0,0,47
1k6/8/1K6/1P6/8/8/8/8,1,0,0,14
rn3rk1/p5pp/2p5/3Ppb2/2q5/1Q6/PPPB2PP/R3K1NR,0,1,0,-3
4k2r/pp3ppp/2q1pn2/3r4/5Q2/2PB3P/P4PP1/2R2RK1,1,0,0,0
r5k1/ppp2p1p/6pB/4n2n/3bPp2/2NB2qP/PPP3P1/R2Q1R1K,0,0,0,191
5bk1/5p2/5np1/1p2p2p/4P1P1/1P2BP1P/1rP1K3/2N4R,1,0,0,207
8/2k5/8/3K4/3P4/8/8/8,0,0,0,0
8/8/3k4/5K2/4P3/8/8/8,1,0,0,15
8/6k1/5rp1/8/5PPp/4R2P/6K1/8,1,0,0,259
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR,1,1,0,15
7k/7p/8/6N1/8/8/8/6RK,1,0,0,1
r1bqk2r/pp2bppp/2n1pn2/3p2B1/2PP4/2NB1N2/PP3PPP/R2QK2R,0,1,0,-25
4k3/6p1/3N2N1/5K2/8/8/8/8,0,0,0,0
2kr1b1r/p2npppp/2p1bn2/7q/5B2/2NB3P/PPP1N1P1/2KR3R,1,0,0,1
8/8/8/8/6Q1/4K3/8/7k,0,0,0,2
1k6/8/K7/1P6/8/8/8/8,0,0,0,13
8/3k2p1/3N2N1/5K2/8/8/8/8,1,0,0,0
rnbqkb1r/pp2pp1p/6p1/2pp4/3Pn3/1P1BPN2/PBP2PPP/RN1QK2R,0,1,0,11
8/R4p1k/3r2p1/7p/7P/8/5PPK/8,0,0,0,0
r3k2r/1p2pp2/p1npbnpb/6Qp/2B1P2P/1NN5/PPP2PP1/2KR2R1,1,1,0,124
4r1k1/3q2P1/6Q1/8/6p1/6Pp/7P/5R1K,1,0,0,27
8/8/3k4/4PK2/8/8/8/8,0,0,0,0
rnbqkb1r/pp1p1ppp/4pn2/2P5/2P5/8/PP2PPPP/RNBQKBNR,1,1,0,3
2rqkb1r/pp2pppp/2n2nb1/1BppN3/6PP/1P2P3/PBPP1P2/RN1QK2R,0,1,0,88
8/2k5/K7/1P6/8/8/8/8,1,0,0,13
3r4/1p4k1/p1bP4/5p1p/5P2/3B4/PP4P1/3KR3,1,0,0,4
8/3k4/8/3K4/3P4/8/8/8,1,0,0,0
8/8/8/8/6Q1/4K3/7k/8,1,0,0,2
r1b2rk1/pp3p1p/1q2p1p1/2npP1N1/8/4R3/PPQ2PPP/R4BK1,0,0,0,0
r1q1r1k1/p1pb1pp1/2p1pn1p/4N3/Q1B1P3/B7/P4PPP/3R1RK1,1,0,0,662
rnbqkb1r/p3pppp/2p2n2/8/p1pP4/1P2PN2/5PPP/RNBQKB1R,1,1,0,121
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR,0,1,0,8
8/8/8/5k2/1N2p3/p7/K7/8,0,0,0,0
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RNBR2K1,1,0,0,25
r1bqkb1r/ppp2pp1/5n1p/n2Pp1N1/2B5/3P4/PPP2PPP/RNBQK2R,1,1,0,-49
2kr4/3p4/8/8/5B2/8/8/5BK1,1,0,0,1
5k2/6Pp/2B5/PPR5/3P4/6rP/6P1/1b4K1,0,0,0,831
8/3B4/6k1/p4p2/5P1p/Pb6/1P4P1/6K1,0,0,0,731
3rqrk1/p1p2ppp/2P2n2/8/1b4b1/2N5/PPP1BPPP/R1BQ1RK1,1,0,0,-108
4r1k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P1Q3/P1B2PPB/1R3NK1,1,0,0,-30
8/6k1/2r3p1/8/6Pp/4R2P/5PK1/8,1,0,0,10
r1b2rk1/3nppbp/p2p2p1/Qpp5/2RPP3/5P2/PP2N1PP/1K3B1R,0,0,0,-56
8/Pq4pk/5pQp/5P1K/6PP/8/8/8,0,0,0,13
3rk2r/pp2bpp1/1np1p2p/1Q2P2P/5P2/2P3N1/PP1B2P1/R4RK1,0,1,0,10
8/3k4/8/8/2KP4/8/8/8,0,0,0,0
rnbqkbnr/pppp1ppp/4p3/3P4/8/8/PPP1PPPP/RNBQKBNR,0,1,0,-61
8/8/8/8/6Q1/5K2/7k/8,0,0,0,1
5N2/1p6/5p1k/p2ppbp1/P2PP3/5PKP/6P1/8,0,0,0,-258
r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR,1,1,0,30
2k1rb1r/ppp3pp/2n2q2/3B1b2/5P2/2P1BQ2/PP1N1P1P/2KR3R,0,0,0,-2
8/6k1/2r3p1/8/5PPp/4R2P/6K1/8,0,0,0,11
8/8/8/8/8/KN2k3/5p2/8,0,0,0,-13
2R2nk1/2P2p1p/3B4/4p1p1/p3b3/6P1/4PP1P/6K1,0,0,0,1169
r3r1k1/ppp2p1p/2n3p1/4bb2/8/1NP2N2/PP3PPP/R1B1R1K1,1,0,0,-19
r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2B1P2B/2NP1N2/PPP2PPP/R2QK2R,0,1,0,-27
8/3k4/8/2K5/8/4R3/8/8,0,0,0,6
8/8/8/8/4k3/5p2/8/4K3,1,0,0,0
2rr2k1/5ppp/pb2p3/1p2P3/1P2bPnq/P1N3P1/1B2Q2P/R4R1K,1,0,0,-104
r1b2rk1/pp3p2/1q2p1pp/2npP1N1/8/4R3/PPQ2PPP/R4BK1,1,0,0,0
6k1/4r1b1/p3p3/1p1pP2r/2pP2RN/2P5/PP4R1/7K,1,0,0,25
r1bq1rk1/pp1pppbp/5np1/8/2PQ4/2N3P1/PP2PPBP/R1B2RK1,0,0,0,36
r2q1rk1/1ppb1pbp/n2p2p1/p1nPp3/2P1P1P1/2N1B2P/PP1NBP2/R2QK1R1,0,1,0,-27
7k/Pq4p1/5pQp/5P1K/6PP/8/8/8,1,0,0,13
Q7/3n2p1/4k3/4N3/8/5p2/8/2b2K2,1,0,0,39
rnbqkb1r/ppp1pppp/3p1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R,0,1,0,34
8/8/8/8/8/KN2k3/8/5q2,1,0,0,-13
rnbqkbnr/pppp1ppp/8/3p4/8/8/PPP1PPPP/RNBQKBNR,1,1,0,-66
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP3P/PPP2PP1/R1BQK1NR,0,1,0,6
8/8/8/8/6Q1/5K2/8/7k,1,0,0,1
r1bq1rk1/1p2bppp/p1n1p3/3n4/2BP4/2N2N2/PP3PPP/R1BQR1K1,1,0,0,35
r1bqkb1r/pp2pp1p/2n3p1/2pp4/3Pn3/1P1BPN2/PBP2PPP/RN1QK2R,1,1,0,28
